Order,PID,MS SubClass,Lot Frontage,Lot Area,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Mas Vnr Area,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Fireplaces,Garage Yr Blt,Garage Cars,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold,SalePrice,MS Zoning,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin Type 2,Heating,Heating QC,Central Air,Electrical,Kitchen Qual,Functional,Fireplace Qu,Garage Type,Garage Finish,Garage Qual,Garage Cond,Paved Drive,Pool QC,Fence,Misc Feature,Sale Type,Sale Condition
4.9606934,594175360.0,-30.24741,118.18308,24780.773,5.375715,5.214076,1960.5101,1966.8558,175.76071,955.6223,104.994606,334.3779,1391.9331,1603.9596,75.59486,48.59732,1728.5077,0.8567906,0.013701183,1.2914172,0.2925208,3.2893674,1.0084772,7.255694,1.0453304,1961.7527,2.0370119,607.8459,130.08624,17.584421,5.625923,4.699909,38.944756,13.80456,-93.25085,4.3355165,2010.0131,205026.83,RL,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,SFoyer,Gable,CompShg,WdShing,HdBoard,Missing,TA,Gd,CBlock,Gd,TA,Av,GLQ,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Missing,Detchd,Fin,TA,TA,Y,Missing,MnPrv,Missing,WD ,Normal
-91.48486,566800060.0,16.665955,81.68691,11416.58,4.6334066,6.118495,1958.2163,1972.8538,8.523229,264.28427,140.26982,332.81567,733.6328,944.8669,-76.52364,2.143677,871.2795,0.2692585,0.0905048,0.9470668,0.16785334,2.2013192,1.0015297,4.7189937,0.2848839,1964.1489,1.7221267,489.3207,13.74823,-8.854973,-11.44825,-3.212691,87.75787,2.910623,187.27013,5.3643727,2010.1062,103735.7,RM,Pave,Missing,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,Gable,CompShg,WdShing,Wd Shng,Missing,Fa,Fa,BrkTil,TA,TA,No,Rec,Unf,GasA,Gd,N,FuseA,Ex,Typ,Gd,Detchd,Unf,Fa,Fa,N,Missing,Missing,Missing,WD ,Normal
-409.97876,-50128590.0,118.464066,56.494633,-2858.7812,6.410494,7.651973,1907.382,1948.0321,508.88998,932.6966,-48.345078,624.00464,1491.7845,1590.7594,112.885994,31.153332,1732.3823,-0.010711341,0.38586527,0.6162995,0.49732882,1.1850504,1.2109075,5.8581142,1.3171791,1925.6552,2.1501324,671.1324,70.475235,-42.33539,276.7114,125.29774,79.3355,49.83114,5115.353,14.81181,2009.774,152018.27,FV,Pave,Missing,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,Missing,Gd,TA,PConc,Gd,TA,No,Rec,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Missing,Attchd,RFn,TA,TA,Y,Missing,Missing,Missing,WD ,Normal
117.16345,644168000.0,-0.02386761,93.950645,15893.469,6.718945,4.804817,1973.2705,1976.3761,277.7805,956.7542,60.21496,832.56573,1846.3829,1857.3082,116.91303,-8.785888,1963.6606,0.8570096,-0.057019826,1.6644869,0.28933758,3.3365526,1.0674406,7.77264,1.1234833,1970.9952,1.8714976,542.0843,99.80838,65.78441,31.758759,11.622955,20.501774,-11.786896,105.82801,3.8798242,2009.8486,247602.14,RL,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,RRAn,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,Missing,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,Fin,TA,TA,Y,Missing,Missing,Missing,WD ,Normal
40.885254,599505800.0,61.95557,75.304756,11055.904,6.117604,5.1324096,1990.7186,1991.9362,130.12268,559.1403,23.837185,197.40091,777.2214,898.6541,723.10876,14.145163,1636.1827,0.49235722,0.1165971,1.6687495,0.93672955,3.0832262,0.98272896,6.807737,0.5916888,1991.9641,2.024946,532.909,150.03833,27.515474,-12.617374,-0.81223434,-7.793551,5.7969446,-222.79631,3.8388882,2009.9098,188543.77,RL,Pave,Missing,IR1,Lvl,AllPub,FR2,Gtl,Gilbert,Norm,Norm,2fmCon,1Story,Gable,CompShg,HdBoard,HdBoard,Missing,TA,TA,CBlock,Gd,TA,Gd,ALQ,Unf,GasW,TA,Y,SBrkr,TA,Mod,Missing,2Types,Unf,TA,TA,N,Missing,Missing,Missing,WD ,Normal
22.80774,560797060.0,57.262386,72.72546,9243.84,6.531178,6.063068,1990.5536,2002.4109,102.309135,381.34384,70.01886,332.05032,780.5404,896.1039,783.10254,13.82379,1692.3525,0.35043862,0.12927409,1.7883239,0.91937196,3.204096,0.96141136,7.0392146,0.5763646,1994.153,2.134664,554.0259,202.43094,22.922798,-13.578869,9.652139,-23.92118,0.60413414,-50.9936,5.5140405,2009.8644,201566.31,RL,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,TA,Gd,CBlock,TA,TA,No,BLQ,LwQ,GasA,TA,Y,SBrkr,TA,Typ,Missing,Detchd,Unf,TA,TA,P,Missing,Missing,Missing,COD,Normal
0.22680664,749562430.0,104.23673,45.6099,1757.2197,7.114904,4.8108387,1994.69,2002.8329,104.29731,575.87036,-0.26407507,759.5315,1329.834,1255.5938,87.83625,-7.346292,1335.9386,0.71435577,-0.11113776,1.738354,0.15812075,1.6482483,1.1122022,5.274242,0.29817763,2003.8883,2.2180185,603.8823,89.68668,46.649483,104.35031,-4.6713843,-30.729164,3.1842258,482.54712,4.1784973,2010.1289,193367.22,RL,Pave,Missing,IR2,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,Missing,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,Fin,TA,TA,Y,Missing,Missing,Missing,WD ,Normal
-82.76672,641212700.0,97.74968,50.502804,3746.651,6.915203,5.3254223,1993.1202,2003.8953,150.68398,184.71587,9.4640665,1082.5868,1266.6321,1271.0476,59.79118,-4.3710055,1330.2504,0.12169832,0.0031691126,1.7528244,0.2079352,1.7394848,1.1124401,5.358924,0.40260085,1999.5245,1.8836795,512.14844,-45.93297,95.24198,-27.993614,-11.913773,108.71541,-4.477821,252.58484,1.323522,2010.1251,184980.38,RL,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,Missing,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,Gd,Typ,Missing,Attchd,RFn,TA,TA,Y,Missing,Missing,Missing,WD ,Normal
62.71704,711341440.0,98.08672,50.760025,5323.6406,7.5639715,5.190802,2006.4596,2012.5575,174.72362,1143.2494,57.696224,451.01358,1643.5753,1531.4061,36.108166,5.744832,1574.5408,1.2390476,0.007404846,1.8449968,0.19967076,1.7845731,1.0461849,5.7121654,0.7218138,2008.7932,1.8028039,500.10266,137.93213,119.33863,7.238023,4.8985724,0.4484055,3.5473769,182.18971,3.389187,2010.0122,244113.8,RM,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,SFoyer,Gable,CompShg,CemntBd,CmentBd,Missing,TA,TA,CBlock,Gd,TA,Av,LwQ,GLQ,GasA,Ex,Y,SBrkr,TA,Typ,Missing,Missing,Missing,Missing,Missing,Y,Missing,Missing,Missing,WD ,Normal
-66.44507,560532400.0,62.910774,64.87825,6301.719,6.9409885,5.1061926,1995.9521,2001.7373,111.934494,50.820812,45.740295,856.69006,949.90027,978.1758,769.7124,9.14804,1756.8539,0.053924024,0.0011117391,1.9425603,0.9450722,3.1573515,0.962828,7.140067,0.5289793,1999.4795,2.0248337,517.8031,94.12227,77.19551,6.7670994,2.1317244,-3.3943775,-10.692645,-25.750727,5.325589,2009.9689,202935.02,RM,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Gd,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,RFn,TA,TA,Y,Missing,Missing,Missing,WD ,Normal
